Institution,Cohort Year,Major,Median earnings: full-time workers
All Institutions,1 year after graduation,All Majors,"$46,400 "
All Institutions,1 year after graduation,All Majors,"$54,500 "
All Institutions,1 year after graduation,All Majors,**
All Institutions,5 years after graduation,All Majors,"$63,700 "
All Institutions,5 years after graduation,All Majors,"$70,000 "
All Institutions,5 years after graduation,All Majors,"$78,400 "
All Institutions,10 years after graduation,All Majors,"$72,900 "
All Institutions,10 years after graduation,All Majors,"$82,300 "
All Institutions,10 years after graduation,All Majors,"$109,400 "
All Institutions,1 year after graduation,Accounting,"$54,700 "
All Institutions,1 year after graduation,Accounting,"$57,300 "
All Institutions,1 year after graduation,Accounting,**
All Institutions,5 years after graduation,Accounting,"$72,800 "
All Institutions,5 years after graduation,Accounting,"$86,900 "
All Institutions,5 years after graduation,Accounting,**
All Institutions,10 years after graduation,Accounting,"$84,100 "
All Institutions,10 years after graduation,Accounting,"$108,500 "
All Institutions,10 years after graduation,Accounting,**
All Institutions,1 year after graduation,Actuarial Science,"$61,400 "
All Institutions,1 year after graduation,Actuarial Science,**
All Institutions,1 year after graduation,Actuarial Science,**
All Institutions,5 years after graduation,Actuarial Science,"$97,700 "
All Institutions,5 years after graduation,Actuarial Science,**
All Institutions,5 years after graduation,Actuarial Science,**
All Institutions,10 years after graduation,Actuarial Science,"$105,800 "
All Institutions,10 years after graduation,Actuarial Science,"$102,700 "
All Institutions,10 years after graduation,Actuarial Science,**
All Institutions,1 year after graduation,Advertising,"$45,900 "
All Institutions,1 year after graduation,Advertising,**
All Institutions,1 year after graduation,Advertising,**
All Institutions,5 years after graduation,Advertising,"$74,700 "
All Institutions,5 years after graduation,Advertising,"$73,700 "
All Institutions,5 years after graduation,Advertising,**
All Institutions,10 years after graduation,Advertising,"$92,000 "
All Institutions,10 years after graduation,Advertising,"$86,200 "
All Institutions,10 years after graduation,Advertising,**
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$73,100 "
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$94,700 "
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$105,600 "
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$116,400 "
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$127,100 "
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$128,300 "
All Institutions,1 year after graduation,African-American/Black Studies,"$36,500 "
All Institutions,1 year after graduation,African-American/Black Studies,**
All Institutions,1 year after graduation,African-American/Black Studies,**
All Institutions,5 years after graduation,African-American/Black Studies,"$46,500 "
All Institutions,5 years after graduation,African-American/Black Studies,"$56,600 "
All Institutions,5 years after graduation,African-American/Black Studies,**
All Institutions,10 years after graduation,African-American/Black Studies,"$49,900 "
All Institutions,10 years after graduation,African-American/Black Studies,**
All Institutions,10 years after graduation,African-American/Black Studies,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,"$60,300 "
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,"$54,600 "
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,10 years after graduation,Agricultural and Food Products Processing,"$100,000 "
All Institutions,10 years after graduation,Agricultural and Food Products Processing,**
All Institutions,10 years after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural Economics,"$48,600 "
All Institutions,1 year after graduation,Agricultural Economics,**
All Institutions,1 year after graduation,Agricultural Economics,**
All Institutions,5 years after graduation,Agricultural Economics,"$68,400 "
All Institutions,5 years after graduation,Agricultural Economics,"$73,900 "
All Institutions,5 years after graduation,Agricultural Economics,**
All Institutions,10 years after graduation,Agricultural Economics,"$89,300 "
All Institutions,10 years after graduation,Agricultural Economics,"$98,500 "
All Institutions,10 years after graduation,Agricultural Economics,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,5 years after graduation,Agricultural Engineering,"$69,700 "
All Institutions,5 years after graduation,Agricultural Engineering,**
All Institutions,5 years after graduation,Agricultural Engineering,**
All Institutions,10 years after graduation,Agricultural Engineering,"$93,800 "
All Institutions,10 years after graduation,Agricultural Engineering,"$107,600 "
All Institutions,10 years after graduation,Agricultural Engineering,"$124,400 "
All Institutions,1 year after graduation,Agricultural Teacher Education,"$48,900 "
All Institutions,1 year after graduation,Agricultural Teacher Education,**
All Institutions,1 year after graduation,Agricultural Teacher Education,**
All Institutions,5 years after graduation,Agricultural Teacher Education,"$53,400 "
All Institutions,5 years after graduation,Agricultural Teacher Education,"$75,000 "
All Institutions,5 years after graduation,Agricultural Teacher Education,**
All Institutions,10 years after graduation,Agricultural Teacher Education,"$65,300 "
All Institutions,10 years after graduation,Agricultural Teacher Education,"$70,000 "
All Institutions,10 years after graduation,Agricultural Teacher Education,**
All Institutions,1 year after graduation,"Agriculture, General","$35,700 "
All Institutions,1 year after graduation,"Agriculture, General",**
All Institutions,1 year after graduation,"Agriculture, General",**
All Institutions,5 years after graduation,"Agriculture, General","$46,500 "
All Institutions,5 years after graduation,"Agriculture, General",**
All Institutions,5 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,10 years after graduation,American/United States Studies/Civilization,"$58,500 "
All Institutions,10 years after graduation,American/United States Studies/Civilization,**
All Institutions,10 years after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,"Animal Sciences, General","$33,200 "
All Institutions,1 year after graduation,"Animal Sciences, General",**
All Institutions,1 year after graduation,"Animal Sciences, General",**
All Institutions,5 years after graduation,"Animal Sciences, General","$54,400 "
All Institutions,5 years after graduation,"Animal Sciences, General","$51,100 "
All Institutions,5 years after graduation,"Animal Sciences, General","$109,800 "
All Institutions,10 years after graduation,"Animal Sciences, General","$61,700 "
All Institutions,10 years after graduation,"Animal Sciences, General","$72,100 "
All Institutions,10 years after graduation,"Animal Sciences, General","$123,400 "
All Institutions,1 year after graduation,Anthropology,"$34,100 "
All Institutions,1 year after graduation,Anthropology,**
All Institutions,1 year after graduation,Anthropology,**
All Institutions,5 years after graduation,Anthropology,"$46,200 "
All Institutions,5 years after graduation,Anthropology,"$54,900 "
All Institutions,5 years after graduation,Anthropology,"$78,100 "
All Institutions,10 years after graduation,Anthropology,"$58,200 "
All Institutions,10 years after graduation,Anthropology,"$68,000 "
All Institutions,10 years after graduation,Anthropology,"$87,300 "
All Institutions,1 year after graduation,"Apparel and Textiles, General","$44,900 "
All Institutions,1 year after graduation,"Apparel and Textiles, General",**
All Institutions,1 year after graduation,"Apparel and Textiles, General",**
All Institutions,5 years after graduation,"Apparel and Textiles, General","$68,600 "
All Institutions,5 years after graduation,"Apparel and Textiles, General","$88,100 "
All Institutions,5 years after graduation,"Apparel and Textiles, General",**
All Institutions,10 years after graduation,"Apparel and Textiles, General","$80,800 "
All Institutions,10 years after graduation,"Apparel and Textiles, General","$75,400 "
All Institutions,10 years after graduation,"Apparel and Textiles, General",**
All Institutions,1 year after graduation,"Applied Mathematics, General",**
All Institutions,1 year after graduation,"Applied Mathematics, General",**
All Institutions,1 year after graduation,"Applied Mathematics, General",**
All Institutions,5 years after graduation,"Applied Mathematics, General",**
All Institutions,5 years after graduation,"Applied Mathematics, General",**
All Institutions,5 years after graduation,"Applied Mathematics, General",**
All Institutions,10 years after graduation,"Applied Mathematics, General",**
All Institutions,10 years after graduation,"Applied Mathematics, General",**
All Institutions,10 years after graduation,"Applied Mathematics, General",**
All Institutions,1 year after graduation,Architecture,"$45,500 "
All Institutions,1 year after graduation,Architecture,**
All Institutions,1 year after graduation,Architecture,**
All Institutions,5 years after graduation,Architecture,"$65,800 "
All Institutions,5 years after graduation,Architecture,"$65,100 "
All Institutions,5 years after graduation,Architecture,**
All Institutions,10 years after graduation,Architecture,"$73,300 "
All Institutions,10 years after graduation,Architecture,"$80,500 "
All Institutions,10 years after graduation,Architecture,**
All Institutions,1 year after graduation,"Art History, Criticism and Conservation","$33,200 "
All Institutions,1 year after graduation,"Art History, Criticism and Conservation",**
All Institutions,1 year after graduation,"Art History, Criticism and Conservation",**
All Institutions,5 years after graduation,"Art History, Criticism and Conservation","$41,300 "
All Institutions,5 years after graduation,"Art History, Criticism and Conservation","$45,800 "
All Institutions,5 years after graduation,"Art History, Criticism and Conservation",**
All Institutions,10 years after graduation,"Art History, Criticism and Conservation","$55,200 "
All Institutions,10 years after graduation,"Art History, Criticism and Conservation","$57,200 "
All Institutions,10 years after graduation,"Art History, Criticism and Conservation",**
All Institutions,1 year after graduation,Art Teacher Education,"$51,800 "
All Institutions,1 year after graduation,Art Teacher Education,**
All Institutions,1 year after graduation,Art Teacher Education,**
All Institutions,5 years after graduation,Art Teacher Education,"$54,400 "
All Institutions,5 years after graduation,Art Teacher Education,**
All Institutions,5 years after graduation,Art Teacher Education,**
All Institutions,10 years after graduation,Art Teacher Education,"$64,800 "
All Institutions,10 years after graduation,Art Teacher Education,"$76,200 "
All Institutions,10 years after graduation,Art Teacher Education,**
All Institutions,1 year after graduation,"Art/Art Studies, General","$34,700 "
All Institutions,1 year after graduation,"Art/Art Studies, General",**
All Institutions,1 year after graduation,"Art/Art Studies, General",**
All Institutions,5 years after graduation,"Art/Art Studies, General","$47,400 "
All Institutions,5 years after graduation,"Art/Art Studies, General","$45,300 "
All Institutions,5 years after graduation,"Art/Art Studies, General",**
All Institutions,10 years after graduation,"Art/Art Studies, General","$55,200 "
All Institutions,10 years after graduation,"Art/Art Studies, General","$66,000 "
All Institutions,10 years after graduation,"Art/Art Studies, General",**
All Institutions,1 year after graduation,"Arts, Entertainment,and Media Management, General","$36,700 "
All Institutions,1 year after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,1 year after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,5 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,5 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,5 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,10 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,10 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,10 years after graduation,"Arts, Entertainment,and Media Management, General",**
All Institutions,1 year after graduation,Asian Studies/Civilization,"$38,600 "
All Institutions,1 year after graduation,Asian Studies/Civilization,**
All Institutions,1 year after graduation,Asian Studies/Civilization,**
All Institutions,5 years after graduation,Asian Studies/Civilization,"$41,800 "
All Institutions,5 years after graduation,Asian Studies/Civilization,"$54,800 "
All Institutions,5 years after graduation,Asian Studies/Civilization,**
All Institutions,10 years after graduation,Asian Studies/Civilization,"$54,800 "
All Institutions,10 years after graduation,Asian Studies/Civilization,"$59,700 "
All Institutions,10 years after graduation,Asian Studies/Civilization,**
All Institutions,1 year after graduation,Astronomy,"$42,600 "
All Institutions,1 year after graduation,Astronomy,**
All Institutions,1 year after graduation,Astronomy,**
All Institutions,5 years after graduation,Astronomy,**
All Institutions,5 years after graduation,Astronomy,**
All Institutions,5 years after graduation,Astronomy,**
All Institutions,10 years after graduation,Astronomy,**
All Institutions,10 years after graduation,Astronomy,**
All Institutions,10 years after graduation,Astronomy,**
All Institutions,1 year after graduation,Athletic Training/Trainer,"$36,100 "
All Institutions,1 year after graduation,Athletic Training/Trainer,**
All Institutions,1 year after graduation,Athletic Training/Trainer,**
All Institutions,5 years after graduation,Athletic Training/Trainer,"$54,200 "
All Institutions,5 years after graduation,Athletic Training/Trainer,"$53,300 "
All Institutions,5 years after graduation,Athletic Training/Trainer,"$78,300 "
All Institutions,10 years after graduation,Athletic Training/Trainer,"$66,100 "
All Institutions,10 years after graduation,Athletic Training/Trainer,"$71,300 "
All Institutions,10 years after graduation,Athletic Training/Trainer,"$87,400 "
All Institutions,1 year after graduation,"Atmospheric Sciences and Meteorology, General","$33,900 "
All Institutions,1 year after graduation,"Atmospheric Sciences and Meteorology, General",**
All Institutions,1 year after graduation,"Atmospheric Sciences and Meteorology, General",**
All Institutions,5 years after graduation,"Atmospheric Sciences and Meteorology, General","$57,500 "
All Institutions,5 years after graduation,"Atmospheric Sciences and Meteorology, General","$52,300 "
All Institutions,5 years after graduation,"Atmospheric Sciences and Meteorology, General",**
All Institutions,10 years after graduation,"Atmospheric Sciences and Meteorology, General","$60,000 "
All Institutions,10 years after graduation,"Atmospheric Sciences and Meteorology, General",**
All Institutions,10 years after graduation,"Atmospheric Sciences and Meteorology, General",**
All Institutions,1 year after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$35,300 "
All Institutions,1 year after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,**
All Institutions,1 year after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,**
All Institutions,5 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$50,200 "
All Institutions,5 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$64,500 "
All Institutions,5 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$81,700 "
All Institutions,10 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$52,200 "
All Institutions,10 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$68,800 "
All Institutions,10 years after graduation,Audiology/Audiologist and Speech-Language Pathology/Pathologist,"$83,300 "
All Institutions,1 year after graduation,Banking and Financial Support Services,**
All Institutions,1 year after graduation,Banking and Financial Support Services,**
All Institutions,1 year after graduation,Banking and Financial Support Services,**
All Institutions,5 years after graduation,Banking and Financial Support Services,"$83,900 "
All Institutions,5 years after graduation,Banking and Financial Support Services,**
All Institutions,5 years after graduation,Banking and Financial Support Services,**
All Institutions,10 years after graduation,Banking and Financial Support Services,"$79,900 "
All Institutions,10 years after graduation,Banking and Financial Support Services,**
All Institutions,10 years after graduation,Banking and Financial Support Services,**
All Institutions,1 year after graduation,Biochemistry,"$35,500 "
All Institutions,1 year after graduation,Biochemistry,**
All Institutions,1 year after graduation,Biochemistry,**
All Institutions,5 years after graduation,Biochemistry,"$64,700 "
All Institutions,5 years after graduation,Biochemistry,"$59,900 "
All Institutions,5 years after graduation,Biochemistry,"$87,600 "
All Institutions,10 years after graduation,Biochemistry,"$109,100 "
All Institutions,10 years after graduation,Biochemistry,"$134,200 "
All Institutions,10 years after graduation,Biochemistry,"$127,000 "
All Institutions,1 year after graduation,Bioengineering and Biomedical Engineering,"$59,900 "
All Institutions,1 year after graduation,Bioengineering and Biomedical Engineering,**
All Institutions,1 year after graduation,Bioengineering and Biomedical Engineering,**
All Institutions,5 years after graduation,Bioengineering and Biomedical Engineering,"$89,100 "
All Institutions,5 years after graduation,Bioengineering and Biomedical Engineering,"$95,300 "
All Institutions,5 years after graduation,Bioengineering and Biomedical Engineering,**
All Institutions,10 years after graduation,Bioengineering and Biomedical Engineering,"$108,900 "
All Institutions,10 years after graduation,Bioengineering and Biomedical Engineering,"$110,500 "
All Institutions,10 years after graduation,Bioengineering and Biomedical Engineering,"$77,200 "
All Institutions,1 year after graduation,Bioinformatics,**
All Institutions,1 year after graduation,Bioinformatics,**
All Institutions,1 year after graduation,Bioinformatics,**
All Institutions,5 years after graduation,Bioinformatics,**
All Institutions,5 years after graduation,Bioinformatics,**
All Institutions,5 years after graduation,Bioinformatics,**
All Institutions,10 years after graduation,Bioinformatics,**
All Institutions,10 years after graduation,Bioinformatics,**
All Institutions,10 years after graduation,Bioinformatics,**
All Institutions,1 year after graduation,Biological and Physical Sciences,"$35,500 "
All Institutions,1 year after graduation,Biological and Physical Sciences,**
All Institutions,1 year after graduation,Biological and Physical Sciences,**
All Institutions,5 years after graduation,Biological and Physical Sciences,"$57,200 "
All Institutions,5 years after graduation,Biological and Physical Sciences,"$92,500 "
All Institutions,5 years after graduation,Biological and Physical Sciences,**
All Institutions,10 years after graduation,Biological and Physical Sciences,"$62,600 "
All Institutions,10 years after graduation,Biological and Physical Sciences,"$102,300 "
All Institutions,10 years after graduation,Biological and Physical Sciences,**
All Institutions,1 year after graduation,Biological/Biosystems Engineering,"$66,600 "
All Institutions,1 year after graduation,Biological/Biosystems Engineering,**
All Institutions,1 year after graduation,Biological/Biosystems Engineering,**
All Institutions,5 years after graduation,Biological/Biosystems Engineering,"$84,200 "
All Institutions,5 years after graduation,Biological/Biosystems Engineering,**
All Institutions,5 years after graduation,Biological/Biosystems Engineering,**
All Institutions,10 years after graduation,Biological/Biosystems Engineering,**
All Institutions,10 years after graduation,Biological/Biosystems Engineering,**
All Institutions,10 years after graduation,Biological/Biosystems Engineering,**
All Institutions,1 year after graduation,"Biology/Biological Sciences, General","$34,200 "
All Institutions,1 year after graduation,"Biology/Biological Sciences, General","$44,900 "
All Institutions,1 year after graduation,"Biology/Biological Sciences, General",**
All Institutions,5 years after graduation,"Biology/Biological Sciences, General","$55,400 "
All Institutions,5 years after graduation,"Biology/Biological Sciences, General","$72,200 "
All Institutions,5 years after graduation,"Biology/Biological Sciences, General","$75,900 "
All Institutions,10 years after graduation,"Biology/Biological Sciences, General","$73,000 "
All Institutions,10 years after graduation,"Biology/Biological Sciences, General","$86,900 "
All Institutions,10 years after graduation,"Biology/Biological Sciences, General","$130,500 "
All Institutions,1 year after graduation,"Biomedical Sciences, General","$32,700 "
All Institutions,1 year after graduation,"Biomedical Sciences, General",**
All Institutions,1 year after graduation,"Biomedical Sciences, General",**
All Institutions,5 years after graduation,"Biomedical Sciences, General","$60,000 "
All Institutions,5 years after graduation,"Biomedical Sciences, General","$75,000 "
All Institutions,5 years after graduation,"Biomedical Sciences, General","$79,600 "
All Institutions,10 years after graduation,"Biomedical Sciences, General","$72,400 "
All Institutions,10 years after graduation,"Biomedical Sciences, General","$82,600 "
All Institutions,10 years after graduation,"Biomedical Sciences, General","$124,800 "
All Institutions,1 year after graduation,Biotechnology,"$42,400 "
All Institutions,1 year after graduation,Biotechnology,**
All Institutions,1 year after graduation,Biotechnology,**
All Institutions,5 years after graduation,Biotechnology,"$66,500 "
All Institutions,5 years after graduation,Biotechnology,**
All Institutions,5 years after graduation,Biotechnology,**
All Institutions,10 years after graduation,Biotechnology,"$73,100 "
All Institutions,10 years after graduation,Biotechnology,**
All Institutions,10 years after graduation,Biotechnology,"$111,500 "
All Institutions,1 year after graduation,Botany/Plant Biology,"$43,300 "
All Institutions,1 year after graduation,Botany/Plant Biology,**
All Institutions,1 year after graduation,Botany/Plant Biology,**
All Institutions,5 years after graduation,Botany/Plant Biology,**
All Institutions,5 years after graduation,Botany/Plant Biology,**
All Institutions,5 years after graduation,Botany/Plant Biology,**
All Institutions,10 years after graduation,Botany/Plant Biology,**
All Institutions,10 years after graduation,Botany/Plant Biology,**
All Institutions,10 years after graduation,Botany/Plant Biology,**
All Institutions,1 year after graduation,"Business Administration and Management, General","$49,900 "
All Institutions,1 year after graduation,"Business Administration and Management, General","$63,400 "
All Institutions,1 year after graduation,"Business Administration and Management, General",**
All Institutions,5 years after graduation,"Business Administration and Management, General","$67,900 "
All Institutions,5 years after graduation,"Business Administration and Management, General","$78,600 "
All Institutions,5 years after graduation,"Business Administration and Management, General","$92,600 "
All Institutions,10 years after graduation,"Business Administration and Management, General","$78,500 "
All Institutions,10 years after graduation,"Business Administration and Management, General","$91,600 "
All Institutions,10 years after graduation,"Business Administration and Management, General","$108,000 "
All Institutions,1 year after graduation,Business Analytics,"$52,700 "
All Institutions,1 year after graduation,Business Analytics,**
All Institutions,1 year after graduation,Business Analytics,**
All Institutions,5 years after graduation,Business Analytics,**
All Institutions,5 years after graduation,Business Analytics,**
All Institutions,5 years after graduation,Business Analytics,**
All Institutions,10 years after graduation,Business Analytics,**
All Institutions,10 years after graduation,Business Analytics,**
All Institutions,10 years after graduation,Business Analytics,**
All Institutions,1 year after graduation,Business Teacher Education,**
All Institutions,1 year after graduation,Business Teacher Education,**
All Institutions,1 year after graduation,Business Teacher Education,**
All Institutions,5 years after graduation,Business Teacher Education,**
All Institutions,5 years after graduation,Business Teacher Education,**
All Institutions,5 years after graduation,Business Teacher Education,**
All Institutions,10 years after graduation,Business Teacher Education,"$43,500 "
All Institutions,10 years after graduation,Business Teacher Education,**
All Institutions,10 years after graduation,Business Teacher Education,**
All Institutions,1 year after graduation,"Business/Commerce, General","$48,000 "
All Institutions,1 year after graduation,"Business/Commerce, General",**
All Institutions,1 year after graduation,"Business/Commerce, General",**
All Institutions,5 years after graduation,"Business/Commerce, General","$64,500 "
All Institutions,5 years after graduation,"Business/Commerce, General","$78,000 "
All Institutions,5 years after graduation,"Business/Commerce, General",**
All Institutions,10 years after graduation,"Business/Commerce, General","$73,300 "
All Institutions,10 years after graduation,"Business/Commerce, General","$85,500 "
All Institutions,10 years after graduation,"Business/Commerce, General",**
All Institutions,1 year after graduation,Business/Managerial Economics,"$50,800 "
All Institutions,1 year after graduation,Business/Managerial Economics,**
All Institutions,1 year after graduation,Business/Managerial Economics,**
All Institutions,5 years after graduation,Business/Managerial Economics,"$77,100 "
All Institutions,5 years after graduation,Business/Managerial Economics,"$82,600 "
All Institutions,5 years after graduation,Business/Managerial Economics,**
All Institutions,10 years after graduation,Business/Managerial Economics,"$96,200 "
All Institutions,10 years after graduation,Business/Managerial Economics,"$106,100 "
All Institutions,10 years after graduation,Business/Managerial Economics,**
All Institutions,1 year after graduation,Chemical Engineering,"$69,400 "
All Institutions,1 year after graduation,Chemical Engineering,**
All Institutions,1 year after graduation,Chemical Engineering,**
All Institutions,5 years after graduation,Chemical Engineering,"$93,500 "
All Institutions,5 years after graduation,Chemical Engineering,"$106,800 "
All Institutions,5 years after graduation,Chemical Engineering,**
All Institutions,10 years after graduation,Chemical Engineering,"$110,800 "
All Institutions,10 years after graduation,Chemical Engineering,"$112,200 "
All Institutions,10 years after graduation,Chemical Engineering,"$116,600 "
All Institutions,1 year after graduation,"Chemistry, General","$38,400 "
All Institutions,1 year after graduation,"Chemistry, General",**
All Institutions,1 year after graduation,"Chemistry, General",**
All Institutions,5 years after graduation,"Chemistry, General","$62,500 "
All Institutions,5 years after graduation,"Chemistry, General","$64,100 "
All Institutions,5 years after graduation,"Chemistry, General","$72,500 "
All Institutions,10 years after graduation,"Chemistry, General","$79,100 "
All Institutions,10 years after graduation,"Chemistry, General","$90,300 "
All Institutions,10 years after graduation,"Chemistry, General","$125,600 "
All Institutions,1 year after graduation,"Chemistry, Other","$50,700 "
All Institutions,1 year after graduation,"Chemistry, Other",**
All Institutions,1 year after graduation,"Chemistry, Other",**
All Institutions,5 years after graduation,"Chemistry, Other","$51,400 "
All Institutions,5 years after graduation,"Chemistry, Other",**
All Institutions,5 years after graduation,"Chemistry, Other",**
All Institutions,10 years after graduation,"Chemistry, Other","$83,700 "
All Institutions,10 years after graduation,"Chemistry, Other",**
All Institutions,10 years after graduation,"Chemistry, Other","$144,000 "
All Institutions,1 year after graduation,Cinematography and Film/Video Production,"$34,800 "
All Institutions,1 year after graduation,Cinematography and Film/Video Production,**
All Institutions,1 year after graduation,Cinematography and Film/Video Production,**
All Institutions,5 years after graduation,Cinematography and Film/Video Production,"$53,600 "
All Institutions,5 years after graduation,Cinematography and Film/Video Production,**
All Institutions,5 years after graduation,Cinematography and Film/Video Production,**
All Institutions,10 years after graduation,Cinematography and Film/Video Production,"$64,200 "
All Institutions,10 years after graduation,Cinematography and Film/Video Production,"$69,300 "
All Institutions,10 years after graduation,Cinematography and Film/Video Production,**
All Institutions,1 year after graduation,"City/Urban, Community and Regional Planning","$45,200 "
All Institutions,1 year after graduation,"City/Urban, Community and Regional Planning",**
All Institutions,1 year after graduation,"City/Urban, Community and Regional Planning",**
All Institutions,5 years after graduation,"City/Urban, Community and Regional Planning","$72,100 "
All Institutions,5 years after graduation,"City/Urban, Community and Regional Planning",**
All Institutions,5 years after graduation,"City/Urban, Community and Regional Planning",**
All Institutions,10 years after graduation,"City/Urban, Community and Regional Planning","$76,600 "
All Institutions,10 years after graduation,"City/Urban, Community and Regional Planning","$94,300 "
All Institutions,10 years after graduation,"City/Urban, Community and Regional Planning",**
All Institutions,1 year after graduation,Civil Engineering Technology/Technician,**
All Institutions,1 year after graduation,Civil Engineering Technology/Technician,**
All Institutions,1 year after graduation,Civil Engineering Technology/Technician,**
All Institutions,5 years after graduation,Civil Engineering Technology/Technician,**
All Institutions,5 years after graduation,Civil Engineering Technology/Technician,**
All Institutions,5 years after graduation,Civil Engineering Technology/Technician,**
All Institutions,10 years after graduation,Civil Engineering Technology/Technician,"$73,100 "
All Institutions,10 years after graduation,Civil Engineering Technology/Technician,**
All Institutions,10 years after graduation,Civil Engineering Technology/Technician,**
All Institutions,1 year after graduation,"Civil Engineering, General","$63,800 "
All Institutions,1 year after graduation,"Civil Engineering, General","$66,000 "
All Institutions,1 year after graduation,"Civil Engineering, General",**
All Institutions,5 years after graduation,"Civil Engineering, General","$82,100 "
All Institutions,5 years after graduation,"Civil Engineering, General","$85,600 "
All Institutions,5 years after graduation,"Civil Engineering, General",**
All Institutions,10 years after graduation,"Civil Engineering, General","$98,100 "
All Institutions,10 years after graduation,"Civil Engineering, General","$103,100 "
All Institutions,10 years after graduation,"Civil Engineering, General","$114,500 "
All Institutions,1 year after graduation,"Classics and Classical Languages, Literatures, and Linguistics, General","$38,500 "
All Institutions,1 year after graduation,"Classics and Classical Languages, Literatures, and Linguistics, General",**
All Institutions,1 year after graduation,"Classics and Classical Languages, Literatures, and Linguistics, General",**
All Institutions,5 years after graduation,"Classics and Classical Languages, Literatures, and Linguistics, General","$49,100 "
All Institutions,5 years after graduation,"Classics and Classical Languages, Literatures, and Linguistics, General","$42,800 "
